  50600000    789087    666442         1   2.538956942981E-007   2.836086800000E+001   2.830797900000E+001   3.121299791336E+001   2.721868326287E-001   7.500092125157E-003   2.721868326287E-001   2.501850000000E-001   4.998710155487E-001   6.996334000000E+000   7.254070043564E+000   1.000000000000E+000
  50707000    789087    666442         1   2.538956943817E-007   2.816763600000E+001   2.811883700000E+001   2.969330978394E+001   2.721868326287E-001   7.500092125169E-003   2.721868326287E-001   1.814550000000E-001   3.986868858337E-001   6.910773000000E+000   7.149595975876E+000   1.000000000000E+000
  50700000    789087    666442         1   2.538956943817E-007   2.829730900000E+001   2.822879300000E+001   2.984171795845E+001   2.721868326287E-001   7.500092125169E-003   2.721868326287E-001   1.907920000000E-001   4.123339653015E-001   6.897021000000E+000   7.126471996307E+000   1.000000000000E+000
  50900000    789087    666442         1   2.538956933626E-007   2.997037700000E+001   2.990254800000E+001   3.149987697601E+001   2.721868326287E-001   7.500092083409E-003   2.721868326287E-001   1.741063000000E+000   2.013079166412E+000   8.462821000000E+000   8.745825052261E+000   1.000000000000E+000
  50600000   6262558   5331536         1   1.254618835776E-007   2.683835860000E+002   2.683213640000E+002   2.721533560753E+002   2.729104184456E-001   7.570359428147E-003   2.729104184456E-001   2.014083000000E+000   2.320530891418E+000   5.504897700000E+001   5.552446985245E+001   2.000000000000E+000
  51000000    789087    666442         1   2.538956933644E-007   2.987347000000E+001   2.978958000000E+001   3.138807702065E+001   2.721868326287E-001   7.500092083478E-003   2.721868326287E-001   1.759152000000E+000   1.978271961212E+000   8.461422000000E+000   8.690374851227E+000   1.000000000000E+000
  50707000   6262558   5331536         1   1.254618836880E-007   2.565874560000E+002   2.564831820000E+002   2.609539699554E+002   2.729104184456E-001   7.570359428207E-003   2.729104184456E-001   1.676581000000E+000   1.983060836792E+000   5.522421600000E+001   5.571755790710E+001   2.000000000000E+000
  50700000   6262558   5331536         1   1.254618836880E-007   2.677638080000E+002   2.677048630000E+002   2.720342488289E+002   2.729104184456E-001   7.570359428207E-003   2.729104184456E-001   1.640075000000E+000   1.940761804581E+000   5.447258000000E+001   5.493934416771E+001   2.000000000000E+000
  50900000   6262558   5331536         1   1.254618794224E-007   2.760227910000E+002   2.759684160000E+002   2.805400419235E+002   2.729104184456E-001   7.570359070114E-003   2.729104184456E-001   1.884598600000E+001   1.934662985802E+001   7.057789600000E+001   7.126598501205E+001   2.000000000000E+000
  51000000   6262558   5331536         1   1.254618794240E-007   2.856706730000E+002   2.856267110000E+002   2.898938970566E+002   2.729104184456E-001   7.570359070238E-003   2.729104184456E-001   1.893619900000E+001   1.930841302872E+001   7.109024100000E+001   7.162337398529E+001   2.000000000000E+000
