  99999999    789087    666442         1   1.406563002212E-004   3.256117900000E+001   3.248514000000E+001   3.500850582123E+001   2.721868326287E-001   7.500092124337E-003   2.721868326287E-001   4.702189000000E+000   5.390627861023E+000   1.406563002212E-004   1.286310300000E+001   1.405775189400E+001   1.000000000000E+000
  30607053    789087    666442         1   1.406563002494E-004   3.209385400000E+001   3.202648500000E+001   3.386378288269E+001   2.721868326287E-001   7.500092127346E-003   2.721868326287E-001   3.990904000000E+000   4.521100997925E+000   1.406563002494E-004   1.226000800000E+001   1.282393693924E+001   1.000000000000E+000
  99999999    789087    666442         1   1.406563002212E-004   3.289799600000E+001   3.281763800000E+001   3.481485509872E+001   2.721868326287E-001   7.500092124337E-003   2.721868326287E-001   4.768396000000E+000   5.477366209030E+000   1.406563002212E-004   1.298608900000E+001   1.373931217194E+001   1.000000000000E+000
  30607053   6262558   5331536         1   1.413136586511E-004   2.528231010000E+002   2.527590610000E+002   2.561506068707E+002   2.729104184456E-001   7.570359429182E-003   2.729104184456E-001   1.621848800000E+001   1.726269507408E+001   1.413136586511E-004   7.553560100000E+001   7.666494607925E+001   2.000000000000E+000
  99999999   6262558   5331536         1   1.413136586916E-004   2.588003430000E+002   2.587398720000E+002   2.627990739346E+002   2.729104184456E-001   7.570359433526E-003   2.729104184456E-001   2.178072900000E+001   2.354932713509E+001   1.413136586916E-004   8.089397700000E+001   8.274230599403E+001   2.000000000000E+000
  30607053    789087    666442         1   1.406563002494E-004   3.188877400000E+001   3.182727000000E+001   3.357223296165E+001   2.721868326287E-001   7.500092127346E-003   2.721868326287E-001   3.946130000000E+000   4.515498876572E+000   1.406563002494E-004   1.212726400000E+001   1.273936295509E+001   1.000000000000E+000
  99999999    789087    666442         1   1.406563002212E-004   3.282962600000E+001   3.275983100000E+001   3.473366403580E+001   2.721868326287E-001   7.500092124337E-003   2.721868326287E-001   4.714064000000E+000   5.295080900192E+000   1.406563002212E-004   1.298647100000E+001   1.357661485672E+001   1.000000000000E+000
  30607053   6262558   5331536         1   1.413136586511E-004   2.533256220000E+002   2.532630600000E+002   2.566209530830E+002   2.729104184456E-001   7.570359429182E-003   2.729104184456E-001   1.614914200000E+001   1.720047497749E+001   1.413136586511E-004   7.581774800000E+001   7.695987200737E+001   2.000000000000E+000
  30607053   6262558   5331536         1   1.413136586511E-004   2.548473440000E+002   2.548003370000E+002   2.579362390041E+002   2.729104184456E-001   7.570359429182E-003   2.729104184456E-001   1.613023600000E+001   1.723766398430E+001   1.413136586511E-004   7.618332000000E+001   7.742992401123E+001   2.000000000000E+000
  99999999   6262558   5331536         1   1.413136586916E-004   2.586400500000E+002   2.585663480000E+002   2.626931738853E+002   2.729104184456E-001   7.570359433526E-003   2.729104184456E-001   2.157221800000E+001   2.351696419716E+001   1.413136586916E-004   8.161224100000E+001   8.365133905411E+001   2.000000000000E+000
  99999999   6262558   5331536         1   1.413136586916E-004   2.609550340000E+002   2.608986020000E+002   2.653138420582E+002   2.729104184456E-001   7.570359433526E-003   2.729104184456E-001   2.165092100000E+001   2.361124420166E+001   1.413136586916E-004   8.157774600000E+001   8.368854808807E+001   2.000000000000E+000
