  30607053    973488    666442       384   1.406556387003E-004   1.287132700000E+001   1.285041900000E+001   5.414500498772E+001   2.721868325711E-001   7.500021577116E-003   2.721868325711E-001   1.156848400000E+001   1.233099007607E+001   1.406556387003E-004   1.162914700000E+001   1.255066704750E+001   1.000000000000E+000
  99999999    973488    666442       384   1.406563005147E-004   1.448437000000E+000   1.416297000000E+000   4.118555712700E+001   2.721868325711E-001   7.500092155639E-003   2.721868325711E-001   3.709260000000E-001   9.034030437469E-001   1.406563005147E-004   4.353880000000E-001   1.079854011536E+000   1.000000000000E+000
  30600000   6983659   5331536       384   1.414585714321E-004   5.459694000000E+000   5.441884000000E+000   4.617529320717E+001   2.729104184448E-001   7.585893728413E-003   2.729104184448E-001   2.484747000000E+000   2.700752019882E+000   1.414585714321E-004   2.762373000000E+000   3.084309816360E+000   2.000000000000E+000
  99999999   6983659   5331536       384   1.414585714189E-004   5.097271000000E+000   5.060673000000E+000   4.538363385201E+001   2.729104184448E-001   7.585893727002E-003   2.729104184448E-001   1.943532000000E+000   2.545776128769E+000   1.414585714189E-004   2.203580000000E+000   2.914069175720E+000   2.000000000000E+000
  20600000   6983659   5331536       384   1.414585714331E-004   7.470396000000E+000   7.443322000000E+000   5.195284605026E+001   2.729104184448E-001   7.585893728520E-003   2.729104184448E-001   4.389203000000E+000   4.541023015976E+000   1.414585714331E-004   4.663377000000E+000   4.925887823105E+000   2.000000000000E+000
  20700000   6983659   5331536       384   1.414585714321E-004   7.419332000000E+000   7.391656000000E+000   4.733399105072E+001   2.729104184448E-001   7.585893728419E-003   2.729104184448E-001   4.038300000000E+000   4.205458164215E+000   1.414585714321E-004   4.311301000000E+000   4.556427001953E+000   2.000000000000E+000
  30600000   6983659   5331536       384   1.414585714320E-004   5.432558000000E+000   5.409539000000E+000   4.574692392349E+001   2.729104184448E-001   7.585893728402E-003   2.729104184448E-001   2.268947000000E+000   2.509364843369E+000   1.414585714320E-004   2.545517000000E+000   2.864158868790E+000   2.000000000000E+000
  99999999   6983659   5331536       384   1.414585714189E-004   4.885434000000E+000   4.859673000000E+000   4.465431690216E+001   2.729104184448E-001   7.585893727002E-003   2.729104184448E-001   1.931901000000E+000   2.532426118851E+000   1.414585714189E-004   2.217649000000E+000   2.894136905670E+000   2.000000000000E+000
  20600000    973488    666442       384   1.406563002154E-004   1.989282000000E+000   1.955000000000E+000   4.481878614426E+001   2.721868325711E-001   7.500092123722E-003   2.721868325711E-001   5.300250000000E-001   6.029031276703E-001   1.406563002154E-004   5.910740000000E-001   7.822408676147E-001   1.000000000000E+000
  20700000    973488    666442       384   1.406563002165E-004   2.817155000000E+000   2.790309000000E+000   3.958774614334E+001   2.721868325711E-001   7.500092123842E-003   2.721868325711E-001   4.708000000000E-001   5.530178546906E-001   1.406563002165E-004   5.210340000000E-001   7.116780281067E-001   1.000000000000E+000
  30600000    973488    666442       384   1.406563002152E-004   2.133930000000E+000   2.112254000000E+000   3.946123290062E+001   2.721868325711E-001   7.500092123706E-003   2.721868325711E-001   1.393840000000E-001   3.768260478973E-001   1.406563002152E-004   2.150130000000E-001   5.530321598053E-001   1.000000000000E+000
  20600000   6983659   5331536       384   1.414585714331E-004   7.590819000000E+000   7.567982000000E+000   5.133427500725E+001   2.729104184448E-001   7.585893728520E-003   2.729104184448E-001   4.557643000000E+000   4.727185010910E+000   1.414585714331E-004   4.818908000000E+000   5.077723979950E+000   2.000000000000E+000
